station,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,wxcodes,metar,AirportID,WeatherStation,EventDate,NtsbNo,Weather_Source,Distance_nm,time_diff
MIA,2022-06-21 21:53:00+00:00,86.0,61.0,43.1,50.0,9.0,16.0,10.0,30.08,0.0,M,KMIA 212153Z 05009G16KT 10SM FEW030 FEW045 BKN250 30/16 A3008 RMK AO2 SLP187 T03000161 $,MIA,KMIA,2022-06-21 21:38:00+00:00,DCA22FA132,PRIMARY,0.0,0 days 00:15:00
BDL,2022-05-31 23:51:00+00:00,78.0,63.0,59.78,180.0,12.0,,10.0,29.9,0.0,M,KBDL 312351Z 18012KT 10SM FEW080 BKN100 BKN250 26/17 A2990 RMK AO2 SLP125 T02560172 10339 20256 53010,4B9,BDL,2022-06-06 17:20:00+00:00,ERA22LA263,FALLBACK,4.552719880406996,5 days 17:29:00
BDL,2022-05-31 20:51:00+00:00,92.0,62.0,37.19,320.0,5.0,,10.0,29.87,0.0,M,KBDL 312051Z 32005KT 10SM SCT070 BKN250 33/17 A2987 RMK AO2 SLP115 T03330167 58007,4B9,BDL,2022-05-31 20:25:00+00:00,ERA22LA253,FALLBACK,4.552719880406996,0 days 00:26:00
CRG,2022-05-29 10:53:00+00:00,70.0,67.0,89.9,0.0,0.0,,10.0,29.96,0.0,M,KCRG 291053Z 00000KT 10SM CLR 21/19 A2996 RMK AO2 SLP145 T02110194,CRG,KCRG,2022-05-29 11:15:00+00:00,ERA22LA247,PRIMARY,0.0,0 days 00:22:00
BAZ,2022-05-22 18:51:00+00:00,80.0,61.0,52.16,70.0,10.0,16.0,10.0,30.13,0.0,M,KBAZ 221851Z 07010G16KT 10SM CLR 27/16 A3013 RMK AO2 SLP195 T02670161,1TE4,BAZ,2022-05-22 18:30:00+00:00,CEN22LA213,FALLBACK,14.097186174951029,0 days 00:21:00
IAH,2022-05-11 13:53:00+00:00,79.0,73.0,81.89,130.0,7.0,,7.0,30.12,0.0,M,KIAH 111353Z 13007KT 7SM SCT012 BKN250 26/23 A3012 RMK AO2 SLP200 T02610228,IAH,KIAH,2022-05-11 14:19:00+00:00,DCA22LA182,PRIMARY,0.0,0 days 00:26:00
APA,2022-05-05 21:53:00+00:00,65.0,36.0,34.17,20.0,9.0,21.0,10.0,29.96,0.0,M,KAPA 052153Z 02009G21KT 10SM FEW080 18/02 A2996 RMK AO2 SLP116 T01830022 $,APA,KAPA,2022-05-05 22:10:00+00:00,CEN22LA195,PRIMARY,0.0,0 days 00:17:00
BJJ,2022-04-28 18:56:00+00:00,49.0,26.1,40.77,0.0,0.0,,10.0,30.28,0.0,M,KBJJ 281856Z AUTO 00000KT 10SM CLR 09/M03 A3028 RMK AO2 SLP262 T00941033,15G,BJJ,2022-04-28 18:40:00+00:00,ERA22LA211,FALLBACK,10.16782196685087,0 days 00:16:00
CDW,2022-04-17 15:53:00+00:00,48.0,19.0,31.27,330.0,9.0,17.0,10.0,30.14,0.0,M,KCDW 171553Z 33009G17KT 10SM BKN060 BKN075 09/M07 A3014 RMK AO2 SLP212 T00891072,CDW,KCDW,2022-04-17 15:44:00+00:00,ERA22LA190,PRIMARY,0.0,0 days 00:09:00
ACT,2022-04-05 13:51:00+00:00,68.0,62.0,81.41,0.0,0.0,,10.0,29.67,0.0,M,KACT 051351Z 00000KT 10SM FEW030 20/17 A2967 RMK AO2 SLP040 T02000167,T15,ACT,2022-04-05 13:31:00+00:00,CEN22FA168,FALLBACK,25.57543607545887,0 days 00:20:00
MMU,2022-04-02 12:46:00+00:00,37.4,21.2,51.61,330.0,10.0,21.0,10.0,30.1,0.0,M,KMMU 021246Z 33010G21KT 10SM BKN042 03/M06 A3010,MMU,KMMU,2022-04-02 12:19:00+00:00,ERA22LA175,PRIMARY,0.0,0 days 00:27:00
SUZ,2022-03-26 15:55:00+00:00,62.6,,,40.0,6.0,,10.0,30.17,0.0,M,KSUZ 261555Z AUTO 04006KT 10SM CLR 17/ A3017 RMK A01,KSUZ,KSUZ,2022-03-26 16:00:00+00:00,CEN22LA161,PRIMARY,0.0,0 days 00:05:00
OLV,2022-03-23 11:50:00+00:00,48.2,44.6,87.28,230.0,15.0,20.0,10.0,29.66,0.0,M,KOLV 231150Z 23015G20KT 10SM SCT019 OVC028 09/07 A2966,OLV,KOLV,2022-03-23 11:38:00+00:00,CEN22LA153,PRIMARY,0.0,0 days 00:12:00
65S,2022-03-07 20:30:00+00:00,44.6,23.0,42.14,210.0,5.0,,10.0,30.17,0.0,M,K65S 072030Z AUTO 21005KT 10SM BKN080 07/M05 A3017 RMK AO2,65S,K65S,2022-03-07 20:30:00+00:00,WPR22LA118,PRIMARY,0.0,0 days 00:00:00
ASE,2022-02-21 13:53:00+00:00,34.0,12.9,41.26,160.0,9.0,18.0,10.0,29.67,0.0,M,KASE 211353Z 16009G18KT 10SM FEW070 01/M11 A2967 RMK AO2 SLP011 T00111106,ASE,KASE,2022-02-21 13:33:00+00:00,CEN22LA130,PRIMARY,0.0,0 days 00:20:00
CYS,2022-02-20 17:53:00+00:00,46.0,10.0,22.75,270.0,8.0,,10.0,29.84,0.0,M,KCYS 201753Z 27008KT 10SM CLR 08/M12 A2984 RMK AO2 SLP076 T00781122 10078 20033 58000 $,CYS,KCYS,2022-02-20 17:30:00+00:00,WPR22LA102,PRIMARY,0.0,0 days 00:23:00
ENW,2022-01-18 12:53:00+00:00,25.0,18.0,74.36,200.0,9.0,,10.0,29.94,0.0,M,KENW 181253Z 20009KT 10SM OVC090 M04/M08 A2994 RMK AO2 SLP151 T10391078,C89,ENW,2022-01-18 13:00:00+00:00,CEN22LA103,FALLBACK,6.538499995697263,0 days 00:07:00
AJR,2021-11-29 16:55:00+00:00,52.7,13.1,20.33,90.0,3.0,,10.0,30.07,0.0,M,KAJR 291655Z AUTO 09003KT 10SM CLR 12/M10 A3007 RMK AO2 T01151105,AJR,KAJR,2021-11-29 16:47:00+00:00,ERA22LA079,PRIMARY,0.0,0 days 00:08:00
SFB,2021-11-23 20:53:00+00:00,61.0,40.0,45.67,20.0,14.0,,10.0,30.12,0.0,M,KSFB 232053Z 02014KT 10SM CLR 16/04 A3012 RMK AO2 SLP199 T01610044 53007,SFB,KSFB,2021-11-23 20:40:00+00:00,ERA22LA077,PRIMARY,0.0,0 days 00:13:00
MTV,2021-11-12 16:35:00+00:00,62.8,36.0,36.77,260.0,6.0,,10.0,30.06,0.0,M,KMTV 121635Z AUTO 26006KT 10SM CLR 17/02 A3006 RMK AO2 T01710022,MTV,KMTV,2021-11-12 16:30:00+00:00,ERA22LA061,PRIMARY,0.0,0 days 00:05:00
MCO,2021-10-22 18:53:00+00:00,89.0,62.0,40.61,0.0,0.0,,10.0,29.97,0.0,M,KMCO 221853Z 00000KT 10SM FEW045 FEW200 SCT250 32/17 A2997 RMK AO2 SLP148 T03170167,MCO,KMCO,2021-10-22 18:50:00+00:00,ERA22LA027,PRIMARY,0.0,0 days 00:03:00
TME,2021-10-19 10:55:00+00:00,57.2,57.2,100.0,0.0,0.0,,8.0,30.06,0.0,M,KTME 191055Z AUTO 00000KT 8SM BKN037 14/14 A3006 RMK AO2,TME,KTME,2021-10-19 11:00:00+00:00,DCA22MA009,PRIMARY,0.0,0 days 00:05:00
